iter	RMSE
0	0.1620951628
1	0.1579102744
2	0.1538677006
3	0.1499724196
4	0.1461939297
5	0.1425441901
6	0.1390163753
7	0.1356179979
8	0.1323374222
9	0.1291779899
10	0.126122855
11	0.1231861692
12	0.120372877
13	0.1176329052
14	0.1149949223
15	0.1124569432
16	0.11001503
17	0.107662792
18	0.10539038
19	0.1032129663
20	0.1011162012
21	0.0990960328
22	0.09717173231
23	0.09530168131
24	0.09352030881
25	0.09180341399
26	0.09015636036
27	0.08857672629
28	0.08706769851
29	0.08562048979
30	0.08423838147
31	0.08291436546
32	0.08163511207
33	0.08042558286
34	0.07926657615
35	0.07816307987
36	0.07709693535
37	0.07608909647
38	0.07512582199
39	0.07420738588
40	0.07331967607
41	0.07247459551
42	0.07167678743
43	0.07091777543
44	0.07018620562
45	0.06950198332
46	0.06884848598
47	0.06821689347
48	0.06761416293
49	0.06704350789
50	0.06650167771
51	0.0659922428
52	0.06550320151
53	0.06504703903
54	0.06461278568
55	0.06419729245
56	0.06380548445
57	0.06343054139
58	0.0630777826
59	0.06273414992
60	0.06241507995
61	0.06211216768
62	0.06183067231
63	0.06155913742
64	0.06130232261
65	0.06106304331
66	0.06082698335
67	0.06060398602
68	0.06039616824
69	0.06020277245
70	0.06001173075
71	0.05983671196
72	0.05966880909
73	0.05951100536
74	0.0593567843
75	0.05921805708
76	0.05908223623
77	0.05895465717
78	0.0588341759
79	0.05872719529
80	0.05861213847
81	0.05850549812
82	0.0584021753
83	0.05830576424
84	0.0582192471
85	0.05813657964
86	0.05805468334
87	0.0579813782
88	0.05790819988
89	0.05783808193
90	0.05777495381
91	0.05771719852
92	0.0576565408
93	0.05760076217
94	0.05754885899
95	0.05749937614
96	0.05745019597
97	0.0574041203
98	0.0573600961
99	0.05731880449
100	0.05727911766
101	0.05724396877
102	0.05720950886
103	0.0571772619
104	0.05714570215
105	0.05711497499
106	0.0570852638
107	0.05705787498
108	0.05703445003
109	0.05700876408
110	0.05698429914
111	0.05696109
112	0.05693935922
113	0.05691773188
114	0.05689746907
115	0.05687933643
116	0.05686123712
117	0.05684553857
118	0.05682874676
119	0.05681270329
120	0.05679829844
121	0.0567855609
122	0.05677099102
123	0.05675710292
124	0.05674454829
125	0.05673375106
126	0.05672240284
127	0.05671126143
128	0.05670083056
129	0.05669104181
130	0.05668186713
131	0.05667248328
132	0.05666323361
133	0.05665479754
134	0.0566466261
135	0.05663877041
136	0.05663172608
137	0.05662550601
138	0.05661810202
139	0.05661086642
140	0.05660415644
141	0.05659782186
142	0.05659067767
143	0.0565840575
144	0.05657800274
145	0.05657249984
146	0.05656726713
147	0.05656188589
148	0.05655614899
149	0.05655127903
150	0.05654460444
151	0.05654088397
152	0.05653583718
153	0.0565315749
154	0.05652632093
155	0.05652177647
156	0.05651645631
157	0.05651295892
158	0.05650848285
159	0.05650462037
160	0.05650123943
161	0.05649654188
162	0.05649312078
163	0.05649006042
164	0.05648661228
165	0.05648362115
166	0.05648017716
167	0.05647562896
168	0.05647180177
169	0.05646799895
170	0.05646541569
171	0.05646285518
172	0.05646028229
173	0.05645716258
174	0.05645478443
175	0.05645147613
176	0.05644884197
177	0.05644631426
178	0.05644277322
179	0.05643993574
180	0.05643770165
181	0.05643595377
182	0.05643373293
183	0.05643173364
184	0.05642964672
185	0.05642696171
186	0.05642475998
187	0.05642174528
188	0.05641977764
189	0.0564166155
190	0.05641435101
191	0.05641229824
192	0.05641019746
193	0.05640803114
194	0.05640523216
195	0.05640313331
196	0.05640148924
197	0.05639960124
198	0.05639735074
199	0.05639582903
200	0.05639391304
201	0.05639224435
202	0.05639067731
203	0.05638833931
204	0.05638680061
205	0.05638546859
206	0.05638455139
207	0.05638283958
208	0.05638134339
209	0.05637934781
210	0.05637791594
211	0.05637606375
212	0.05637422213
213	0.05637181614
214	0.0563703127
215	0.05636827684
216	0.0563667103
217	0.0563652697
218	0.05636419041
219	0.05636250664
220	0.0563609365
221	0.05635939251
222	0.0563571846
223	0.0563551986
224	0.05635372121
225	0.05635130916
226	0.05634982008
227	0.05634840237
228	0.05634726754
229	0.05634460336
230	0.05634274351
231	0.05634114336
232	0.05633911388
233	0.0563369246
234	0.05633504969
235	0.05633355789
236	0.05633169587
237	0.05633054483
238	0.05632892587
239	0.05632690097
